Timestamp,Grade,Type of problem,Types of holds,Number of attempts,Is it a send?,"If it is a send, what is the quality?","If it is a fall, what is the cause? (Or how should you do better in the next try?)",Other notes,Have you been breathing?,Have you been keeping your body as close to the wall as possible?,Have you been shifting your weight dynamically as you reach for the next holds?,Have you grab the hold perpendicularly to its orientation?,Have you been using 'silent feet'?,Have you been keeping awareness of your body position?
11/4/2021 19:33:18,V4,Technical verical,"Edge, Crimp, Sloper",1,No,,Beta. Not knowing what’s next move,,,,,,,
11/4/2021 19:38:06,V4,Technical vertical ,"Edge, Crimp, Sloper",2,No,,No beta,,,,,,,
11/4/2021 19:43:15,V4,Overhang,Crimp,1,No,,Not committed to or believing a move,,,,,,,
11/4/2021 19:46:57,V4,Overhang,Crimp,2,No,,Next move too far. No immediately obvious beta,,,,,,,
11/4/2021 19:50:22,V4,Overhang,Crimp,3,No,,Missed a hold on the right ,,,,,,,
11/4/2021 19:54:14,V4,Overhang,Crimp,3,No,,Beta problem. Might need to switch hands,,,,,,,
11/4/2021 19:58:08,V4,Overhang,Crimp,4,No,,Reached but did not grab the hold,,,,,,,
11/4/2021 20:01:59,V4,Overhang,Crimp,5,Yes,5,,Still a little nervous in the last movr,,,,,,
11/4/2021 20:13:12,V5,Slab,Pinch,1,No,,Need to put more weight on the right foot,,,,,,,
11/4/2021 20:14:58,V5,Slab,Pinch,2,No,,Did not punch properly,,,,,,,
11/4/2021 20:17:51,V5,Slab,Pinch,3,Yes,5,,Still a little nervous at the end but managed to keep a clear head,,,,,,
11/4/2021 20:25:43,V5,Vertical side pull,Edge,1,No,,Sacred or the hold. Not confident that I can hold onto it,,,,,,,
11/4/2021 20:29:39,V5,Vertical side pull ,"Edge, Pinch",2,No,,Beta wrong. Can’t make next move. In secure.,,,,,,,
11/4/2021 20:34:10,V5,Vertical ,"Edge, Pinch",3,No,,Beta not figured out. Same hold fell,,,,,,,
11/4/2021 20:40:35,V5,Vertical balanced ,"Edge, Pinch",4,No,,Sequence was wrong; should shift body weight and the use right hand,,,,,,,
11/4/2021 20:43:36,V5,Vertical ,"Edge, Pinch",5,No,,Tired. No momentum for the last move,,,,,,,
11/11/2021 17:06:04,V4,Roof,"Jug, Pinch",2,Yes,6,1: Did not figure out foot beta,Still a little nervous because of height but was very conscious and trying to calm myself down ,,,,,,
11/11/2021 17:09:43,V5,Vertical,Crimp,1,No,,1: beta; body position ,,,,,,,
11/11/2021 17:13:00,V5,Vertical,Crimp,2,No,,2: difficult move for one next hold,,,,,,,
11/11/2021 17:21:46,V5,Vertical,Crimp,3,Yes,6,,,,,,,,
11/11/2021 17:32:38,V5,Vertical,"Crimp, Pocket",6,No,,3: Cannot hold on to pockets; 4: cannot switch foot; 5/6: cannot stand up with undercling,,,,,,,
11/11/2021 17:41:04,V6,Vertical,"Crimp, Pinch",1,No,,Startup beta,,,,,,,
11/11/2021 17:41:58,V5,Vertical,"Pocket, Undercling",7,No,,Can’t move after the undercling,,,,,,,
11/11/2021 17:53:08,V4,Arête,"Pinch, Sloper",3,Yes,7,1/2: One move too reachy; 3: right hand dry fire,,,,,,,
11/11/2021 17:59:08,V5,Vertical,"Edge, Crimp",1,No,,Next move not familiar ,,,,,,,
11/11/2021 18:02:37,V5,Vertical,"Edge, Crimp",2,No,,Foot loose,,,,,,,
11/11/2021 18:14:39,V5,Vertical,"Edge, Crimp, Sloper",6,Yes,5,Foot loose need to tighten core; beta problem need to go straight up; cut feet too early need to toghten core and the up left foot,Still cut feet relief on strength to overcome,,,,,,
11/11/2021 18:30:19,V6,Overhang,"Pinch, Sloper",4,No,,Beta; familiarity with move (switch hand),,,,,,,
11/11/2021 18:35:21,V5,Overhang,Pinch,2,No,,Next hold too far,,,,,,,
11/11/2021 18:36:48,V6,Overhang,"Pinch, Sloper",5,No,,Left foot loose center of mass falls back,,,,,,,
11/11/2021 18:49:09,V5,Overhang,Pinch,7,No,,Next hold too far; next hold not a jug; cannot hold on to the next hold,,,,,,,
11/14/2021 10:27:06,V4,Vertical,"Jug, Crimp",2,No,,Can’t hold on to the second hold,,,,,,,
11/14/2021 10:32:00,V4,Vertical,Crimp,3,No,,Sequence not optimal,,,,,,,
11/14/2021 10:42:15,V4,Vertical,Crimp,4,Yes,6,,Like the calmness towards the end,,,,,,
11/14/2021 10:47:16,V5,Slab,"Pinch, Sloper",2,No,,Not enough weight on the left foot and not enoguh momentum ,,,,,,,
11/14/2021 10:52:23,V5,Vertical,Pinch,4,No,,Need to put more weight on the right for the second move,,,,,,,
11/14/2021 10:56:24,V5,Vertical,Pinch,5,No,,Cannot hold on to the right hold,,,,,,,
11/14/2021 11:03:34,V4,Vertical,"Jug, Pinch, Sloper",1,Yes,4,,A little caught off guard at the end,,,,,,
11/14/2021 11:09:49,V5,Arête,"Crimp, Sloper",1,No,,Weight on left foot use hip and momentum,,,,,,,
11/14/2021 11:11:41,V5,Arête,"Crimp, Sloper",2,No,,Left foot need to press harder,,,,,,,
11/14/2021 11:15:27,V5,Arête,"Crimp, Sloper",3,No,,Hit too hard need to be more controlled ,,,,,,,
11/14/2021 11:18:59,V5,Arête,"Crimp, Sloper",4,No,,Too static need to use hip and momentum but more control ,,,,,,,
11/14/2021 11:27:50,V5,Arête,"Crimp, Sloper",5,No,,Maybe jut go straight up,,,,,,,
11/14/2021 11:34:02,V5,Arête,"Crimp, Sloper",6,No,,Cut feet and did not get the best of the next hold,,,,,,,
11/14/2021 11:37:40,V5,Arête,"Crimp, Sloper",7,No,,Can grab the next hold but Wrist feeling tension and pain,,,,,,,
11/14/2021 11:46:08,V4,Roof,"Jug, Sloper",1,No,,High foot and drop knee,,,,,,,
11/14/2021 11:49:02,V4,Roof,"Jug, Sloper",2,No,,,Slower slipped once the body center of mass rises,,,,,,
11/14/2021 11:56:55,V4,Roof,Jug,3,Yes,7,,,,,,,,
11/14/2021 12:04:12,V5,Vertical,"Pinch, Pocket",2,No,,Beta to next move,,,,,,,
11/14/2021 12:08:37,V5,Vertical,"Pinch, Pocket",4,No,,Beta to get to the next move,,,,,,,
11/14/2021 12:18:30,V5,Vertical,"Pinch, Pocket",5,No,,Not familiar and trusting with the horizontal body,,,,,,,
11/14/2021 12:26:19,V5,Vertical,"Crimp, Pinch, Pocket",6,No,,Beta to get to next move,,,,,,,
11/14/2021 12:29:41,V4,Vertical,"Edge, Sloper",1,No,,Need to turn the body a little more and trust the foot,,,,,,,
11/14/2021 12:34:28,V4,Vertical,"Edge, Sloper",2,Yes,7,,,,,,,,
11/14/2021 12:39:57,V5,Vertical,"Crimp, Pinch, Pocket",7,No,,Right hand too tired to crimp and pull up to make the next move with the left hand,,,,,,,
11/14/2021 12:44:23,V4,Slab,"Jug, Crimp, Pocket",1,No,,Tired. Not the best beta,,,,,,,
11/14/2021 12:48:59,V4,Slab,"Jug, Crimp, Pocket",2,Yes,6,,The moment you start executing your beta you just got to trust it,,,,,,
11/20/2021 13:58:13,V4,Vertical,"Crimp, Sloper",1,No,,Wrong body position,It’s like a side pull,,,,,,
11/20/2021 14:01:43,V4,Vertical,"Crimp, Sloper",2,Yes,6,,Calm and relaxed,,,,,,
11/20/2021 14:05:20,V5,Vertical,"Jug, Crimp, Pinch, Pocket",1,No,,Lack familiarity with the move,Need to stay close to the wall and commit,,,,,,
11/20/2021 14:08:55,V4,Vertical,"Edge, Crimp",1,No,,"Lack familiarity with the move, Too nervous",Steadily reach out right hand the. Up right foot,,,,,,
11/20/2021 14:12:32,V4,Vertical,"Edge, Crimp, Pinch",2,No,,Wrong body position,Try up the right leg on volume?,,,,,,
11/20/2021 14:18:04,V4,Vertical,"Edge, Crimp, Pinch",3,Yes,7,,Calm and think about what is important for the next move,,,,,,
11/20/2021 14:23:40,V4,Vertical,"Jug, Crimp, Undercling",1,Yes,5,,Was panicking but the nice thing is between giving up and keeping trying I chose to try,,,,,,
11/20/2021 14:29:53,V4,Roof,"Sloper, Flake",1,No,,Beta to the next move,,,,,,,
11/20/2021 14:33:53,V4,Roof,"Jug, Sloper, Flake",2,No,,Beta to the next move,Heel hook?,,,,,,
11/20/2021 14:36:23,V4,Roof,"Jug, Pinch, Sloper, Flake",3,No,,Lack familiarity with the move,Heelhook works need a little more momentum ,,,,,,
11/20/2021 14:41:48,V4,Roof,"Jug, Pinch, Sloper, Flake",4,No,,Suboptimal sequence,See if can right hand cross ,,,,,,
11/20/2021 14:46:17,V4,Roof,"Jug, Pinch, Sloper, Flake",5,Yes,5,,Nice extra heel hook beta but too much cut feet. Need to be more mindful of footwork ,,,,,,
11/20/2021 14:54:13,V4,Vertical,"Crimp, Undercling",1,Yes,6,,Not quite confident but still committed ,,,,,,
